Model units:
Name: Commander Farsight, Army Type: Tau
Name: Breacher Team, Army Type: Tau
Enemy units:
Name: Commander Farsight, Army Type: Tau
Name: Breacher Team, Army Type: Tau
Number of Lifetimes ran: 400

Iteration 0 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 9.0]
Iteration 292 ended with reward tensor([-0.5000]), enemy health [8, 8.0], model health [1.0, 7.0]
Iteration 293 ended with reward tensor([-0.5000]), enemy health [8, 8.0], model health [0.0, 7.0]
Iteration 294 ended with reward tensor([-0.5000]), enemy health [8, 8.0], model health [0.0, 4.0]
Iteration 295 ended with reward tensor([-0.5000]), enemy health [8, 8.0], model health [0.0, 3.0]
Iteration 296 ended with reward tensor([0.7000]), enemy health [6.0, 8.0], model health [0.0, 3.0]
Iteration 297 ended with reward tensor([-0.5000]), enemy health [6.0, 8.0], model health [0.0, 2.0]
Iteration 298 ended with reward tensor([0.7000]), enemy health [5.0, 8.0], model health [0.0, 2.0]
Iteration 299 ended with reward tensor([0.7000]), enemy health [3.0, 8.0], model health [0.0, 2.0]
Iteration 300 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0.0, 2.0]
Iteration 301 ended with reward tensor([0.7000]), enemy health [2.0, 8.0], model health [0.0, 1.0]
Iteration 302 ended with reward tensor([-0.5000]), enemy health [2.0, 8.0], model health [0.0, 1.0]
Iteration 303 ended with reward tensor([-0.5000]), enemy health [2.0, 8.0], model health [0.0, 1.0]
Iteration 304 ended with reward tensor([-1.5000]), enemy health [2.0, 8.0], model health [0.0, 0.0]
enemy won!
Iteration 305 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [3.0, 9]
Iteration 306 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [0, 9]
Iteration 307 ended with reward tensor([0.7000]), enemy health [8, 7.0], model health [0.0, 9.0]
Iteration 308 ended with reward tensor([-0.5000]), enemy health [8, 7.0], model health [0.0, 9.0]
Iteration 309 ended with reward tensor([-0.5000]), enemy health [8, 7.0], model health [0.0, 9.0]
Iteration 310 ended with reward tensor([-0.5000]), enemy health [8, 7.0], model health [0.0, 9.0]
Iteration 311 ended with reward tensor([-0.5000]), enemy health [8, 7.0], model health [0.0, 9.0]
Iteration 312 ended with reward tensor([-0.5000]), enemy health [8, 7.0], model health [0.0, 9.0]
Iteration 313 ended with reward tensor([-0.5000]), enemy health [8, 7.0], model health [0.0, 5.0]
Iteration 314 ended with reward tensor([-0.5000]), enemy health [8, 7.0], model health [0.0, 5.0]
Iteration 315 ended with reward tensor([-0.5000]), enemy health [8, 7.0], model health [0.0, 5.0]
Iteration 316 ended with reward tensor([0.7000]), enemy health [6.0, 7.0], model health [0.0, 5.0]
Iteration 317 ended with reward tensor([-0.5000]), enemy health [6.0, 7.0], model health [0.0, 5.0]
Iteration 318 ended with reward tensor([-0.5000]), enemy health [6.0, 7.0], model health [0.0, 5.0]
Iteration 319 ended with reward tensor([0]), enemy health [6.0, 7.0], model health [0.0, 2.0]
Iteration 320 ended with reward tensor([0.7000]), enemy health [5.0, 7.0], model health [0.0, 2.0]
Iteration 321 ended with reward tensor([0]), enemy health [5.0, 7.0], model health [0.0, 2.0]
Iteration 322 ended with reward tensor([-1.]), enemy health [5.0, 7.0], model health [0.0, 0.0]
enemy won!
Iteration 323 ended with reward tensor([0.5000]), enemy health [8, 9], model health [8, 9]
Iteration 324 ended with reward tensor([0.]), enemy health [8, 9], model health [8, 8.0]
Iteration 325 ended with reward tensor([0.9000]), enemy health [8, 8.0], model health [2.0, 8.0]
Iteration 326 ended with reward tensor([0.7000]), enemy health [8.0, 8.0], model health [0.0, 8.0]
Iteration 327 ended with reward tensor([-0.5000]), enemy health [8.0, 8.0], model health [0.0, 8.0]
Iteration 328 ended with reward tensor([-0.5000]), enemy health [8.0, 8.0], model health [0.0, 8.0]
Iteration 329 ended with reward tensor([-0.5000]), enemy health [8.0, 8.0], model health [0.0, 6.0]
Iteration 330 ended with reward tensor([-0.5000]), enemy health [8.0, 8.0], model health [0.0, 6.0]
Iteration 331 ended with reward tensor([0.7000]), enemy health [6.0, 8.0], model health [0.0, 5.0]
Iteration 332 ended with reward tensor([0.7000]), enemy health [3.0, 8.0], model health [0.0, 5.0]
Iteration 333 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0.0, 5.0]
Iteration 334 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0.0, 5.0]
Iteration 335 ended with reward tensor([0.7000]), enemy health [3.0, 8.0], model health [0.0, 5.0]
Iteration 336 ended with reward tensor([0.7000]), enemy health [3.0, 8.0], model health [0.0, 5.0]
Iteration 337 ended with reward tensor([0.7000]), enemy health [2.0, 8.0], model health [0.0, 5.0]
Iteration 338 ended with reward tensor([0]), enemy health [2.0, 8.0], model health [0.0, 3.0]
Iteration 339 ended with reward tensor([-0.5000]), enemy health [2.0, 8.0], model health [0.0, 3.0]
Iteration 340 ended with reward tensor([0.7000]), enemy health [2.0, 8.0], model health [0.0, 3.0]
Iteration 341 ended with reward tensor([-0.5000]), enemy health [2.0, 8.0], model health [0.0, 3.0]
Iteration 342 ended with reward tensor([-1.]), enemy health [2.0, 8.0], model health [0.0, 0]
enemy won!
Iteration 343 ended with reward tensor([0.5000]), enemy health [8, 9], model health [8, 9]
Iteration 344 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 9]
Iteration 345 ended with reward tensor([0.2000]), enemy health [8, 9.0], model health [5.0, 9]
Iteration 346 ended with reward tensor([0.2000]), enemy health [8, 9.0], model health [5.0, 3.0]
Iteration 347 ended with reward tensor([0]), enemy health [8, 9.0], model health [3.0, 3.0]
Iteration 348 ended with reward tensor([0]), enemy health [8, 9.0], model health [0, 3.0]
Iteration 349 ended with reward tensor([0]), enemy health [8, 9.0], model health [0, 3.0]
Iteration 350 ended with reward tensor([0]), enemy health [8, 9.0], model health [0, 3.0]
Iteration 351 ended with reward tensor([-1.]), enemy health [8, 9.0], model health [0, 0.0]
enemy won!
Iteration 352 ended with reward tensor([0.5000]), enemy health [8, 9], model health [8, 9]
Iteration 353 ended with reward tensor([0.4000]), enemy health [1.0, 9], model health [8, 9]
Iteration 354 ended with reward tensor([0.7000]), enemy health [0, 9], model health [5.0, 6.0]
Iteration 355 ended with reward tensor([0.5000]), enemy health [0, 9], model health [5.0, 6.0]
Iteration 356 ended with reward tensor([0.7000]), enemy health [0, 9.0], model health [0.0, 6.0]
Iteration 357 ended with reward tensor([0.2000]), enemy health [0, 8.0], model health [0.0, 6.0]
Iteration 358 ended with reward tensor([0]), enemy health [0, 8.0], model health [0.0, 2.0]
Iteration 359 ended with reward tensor([-1.]), enemy health [0, 8.0], model health [0.0, 0.0]
enemy won!
Iteration 360 ended with reward tensor([0.5000]), enemy health [8, 9], model health [8, 9]
Iteration 361 ended with reward tensor([0.]), enemy health [8, 9], model health [8, 9.0]
Iteration 362 ended with reward tensor([0.9000]), enemy health [8, 8.0], model health [8, 9.0]
Iteration 363 ended with reward tensor([-0.5000]), enemy health [8, 8.0], model health [8, 9.0]
Iteration 364 ended with reward tensor([-0.5000]), enemy health [8, 8.0], model health [5.0, 6.0]
Iteration 365 ended with reward tensor([0.7000]), enemy health [8, 7.0], model health [0.0, 6.0]
Iteration 366 ended with reward tensor([0.7000]), enemy health [5.0, 7.0], model health [0.0, 6.0]
Iteration 367 ended with reward tensor([-0.5000]), enemy health [5.0, 7.0], model health [0.0, 6.0]
Iteration 368 ended with reward tensor([0.7000]), enemy health [5.0, 7.0], model health [0.0, 6.0]
Iteration 369 ended with reward tensor([-0.5000]), enemy health [5.0, 7.0], model health [0.0, 5.0]
Iteration 370 ended with reward tensor([-0.5000]), enemy health [5.0, 7.0], model health [0.0, 5.0]
Iteration 371 ended with reward tensor([-0.5000]), enemy health [5.0, 7.0], model health [0.0, 5.0]
Iteration 372 ended with reward tensor([0.7000]), enemy health [5.0, 7.0], model health [0.0, 5.0]
Iteration 373 ended with reward tensor([0.7000]), enemy health [4.0, 7.0], model health [0.0, 5.0]
Iteration 374 ended with reward tensor([-0.5000]), enemy health [4.0, 7.0], model health [0.0, 5.0]
Iteration 375 ended with reward tensor([-0.5000]), enemy health [4.0, 7.0], model health [0.0, 5.0]
Iteration 376 ended with reward tensor([0.7000]), enemy health [4.0, 7.0], model health [0.0, 5.0]
Iteration 377 ended with reward tensor([-0.5000]), enemy health [4.0, 7.0], model health [0.0, 5.0]
Iteration 378 ended with reward tensor([-0.5000]), enemy health [4.0, 7.0], model health [0.0, 5.0]
Iteration 379 ended with reward tensor([-0.5000]), enemy health [4.0, 7.0], model health [0.0, 5.0]
Iteration 380 ended with reward tensor([-0.5000]), enemy health [4.0, 7.0], model health [0.0, 5.0]
Iteration 381 ended with reward tensor([-0.5000]), enemy health [4.0, 7.0], model health [0.0, 5.0]
Iteration 382 ended with reward tensor([-0.5000]), enemy health [4.0, 7.0], model health [0.0, 5.0]
Iteration 383 ended with reward tensor([-0.5000]), enemy health [4.0, 7.0], model health [0.0, 5.0]
Iteration 384 ended with reward tensor([-0.5000]), enemy health [4.0, 7.0], model health [0.0, 5.0]
Iteration 385 ended with reward tensor([0.7000]), enemy health [3.0, 7.0], model health [0.0, 5.0]
Iteration 386 ended with reward tensor([0.7000]), enemy health [2.0, 7.0], model health [0.0, 4.0]
Iteration 387 ended with reward tensor([-0.5000]), enemy health [2.0, 7.0], model health [0.0, 3.0]
Iteration 388 ended with reward tensor([-0.5000]), enemy health [2.0, 7.0], model health [0.0, 3.0]
Iteration 389 ended with reward tensor([0.7000]), enemy health [1.0, 7.0], model health [0.0, 3.0]
Iteration 390 ended with reward tensor([-0.5000]), enemy health [1.0, 7.0], model health [0.0, 3.0]
Iteration 391 ended with reward tensor([-0.5000]), enemy health [1.0, 7.0], model health [0.0, 3.0]
Iteration 392 ended with reward tensor([-0.5000]), enemy health [1.0, 7.0], model health [0.0, 3.0]
Iteration 393 ended with reward tensor([-0.5000]), enemy health [1.0, 7.0], model health [0.0, 2.0]
Iteration 394 ended with reward tensor([0.7000]), enemy health [1.0, 7.0], model health [0.0, 2.0]
Iteration 395 ended with reward tensor([1.]), enemy health [0.0, 7.0], model health [0.0, 2.0]
Iteration 396 ended with reward tensor([-1.]), enemy health [0.0, 7.0], model health [0.0, 0.0]
enemy won!
Iteration 397 ended with reward tensor([0.9000]), enemy health [8, 6.0], model health [4.0, 9]
Iteration 398 ended with reward tensor([-0.5000]), enemy health [1.0, 6.0], model health [0.0, 9]
Iteration 399 ended with reward tensor([-0.5000]), enemy health [1.0, 6.0], model health [0.0, 8.0]
Iteration 400 ended with reward tensor([-0.5000]), enemy health [1.0, 6.0], model health [0.0, 8.0]
Iteration 401 ended with reward tensor([-0.5000]), enemy health [1.0, 6.0], model health [0.0, 7.0]
Iteration 402 ended with reward tensor([-0.5000]), enemy health [1.0, 6.0], model health [0.0, 7.0]
Iteration 403 ended with reward tensor([-0.5000]), enemy health [1.0, 6.0], model health [0.0, 4.0]
Iteration 404 ended with reward tensor([0]), enemy health [1.0, 6.0], model health [0.0, 2.0]
Iteration 405 ended with reward tensor([-1.]), enemy health [1.0, 6.0], model health [0.0, 0]
enemy won!
Iteration 406 ended with reward tensor([0.5000]), enemy health [8, 9], model health [8, 9]
Iteration 407 ended with reward tensor([0.]), enemy health [8, 9], model health [0, 9]
Iteration 408 ended with reward tensor([0.7000]), enemy health [8, 7.0], model health [0, 9.0]
Iteration 409 ended with reward tensor([-0.5000]), enemy health [8, 7.0], model health [0, 9.0]
Iteration 410 ended with reward tensor([-0.5000]), enemy health [8, 7.0], model health [0, 7.0]
Iteration 411 ended with reward tensor([-0.5000]), enemy health [8, 7.0], model health [0.0, 4.0]
Iteration 412 ended with reward tensor([-1.]), enemy health [8, 7.0], model health [0.0, 0]
enemy won!
Iteration 413 ended with reward tensor([0.4000]), enemy health [8, 8.0], model health [8, 9]
Iteration 414 ended with reward tensor([0.9000]), enemy health [8, 8.0], model health [5.0, 7.0]
Iteration 415 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 7.0]
Iteration 416 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 7.0]
Iteration 417 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0.0, 6.0]
Iteration 418 ended with reward tensor([0.7000]), enemy health [3.0, 7.0], model health [0.0, 4.0]
Iteration 419 ended with reward tensor([0.7000]), enemy health [3.0, 6.0], model health [0.0, 2.0]
Iteration 420 ended with reward tensor([-1.]), enemy health [3.0, 6.0], model health [0.0, 0.0]
enemy won!
Iteration 421 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 422 ended with reward tensor([0.5000]), enemy health [8, 9], model health [8, 9]
Iteration 423 ended with reward tensor([0.]), enemy health [8, 9], model health [8, 9]
Iteration 424 ended with reward tensor([0.7000]), enemy health [8.0, 9], model health [8, 9]
Iteration 425 ended with reward tensor([-0.5000]), enemy health [8.0, 9], model health [3.0, 9]
Iteration 426 ended with reward tensor([-0.5000]), enemy health [8.0, 6.0], model health [1.0, 9]
Iteration 427 ended with reward tensor([-0.5000]), enemy health [8.0, 6.0], model health [0.0, 9]
Iteration 428 ended with reward tensor([-0.5000]), enemy health [8.0, 6.0], model health [0.0, 7.0]
Iteration 429 ended with reward tensor([-0.5000]), enemy health [8.0, 6.0], model health [0.0, 7.0]
Iteration 430 ended with reward tensor([-0.5000]), enemy health [8.0, 6.0], model health [0.0, 4.0]
Iteration 431 ended with reward tensor([-0.5000]), enemy health [8.0, 6.0], model health [0.0, 4.0]
Iteration 432 ended with reward tensor([-0.5000]), enemy health [8.0, 6.0], model health [0.0, 4.0]
Iteration 433 ended with reward tensor([0.7000]), enemy health [7.0, 6.0], model health [0.0, 4.0]
Iteration 434 ended with reward tensor([-0.5000]), enemy health [7.0, 6.0], model health [0.0, 4.0]
Iteration 435 ended with reward tensor([0.7000]), enemy health [7.0, 6.0], model health [0.0, 4.0]
Iteration 436 ended with reward tensor([-0.5000]), enemy health [7.0, 6.0], model health [0.0, 4.0]
Iteration 437 ended with reward tensor([0]), enemy health [7.0, 6.0], model health [0.0, 1.0]
Iteration 438 ended with reward tensor([0]), enemy health [7.0, 6.0], model health [0.0, 1.0]
Iteration 439 ended with reward tensor([-1.]), enemy health [7.0, 6.0], model health [0.0, 0.0]
enemy won!
Iteration 440 ended with reward tensor([0.5000]), enemy health [8, 9], model health [8, 9]
Iteration 441 ended with reward tensor([0.]), enemy health [8, 9], model health [8, 9]
Iteration 442 ended with reward tensor([0.7000]), enemy health [5.0, 9], model health [8, 9]
Iteration 443 ended with reward tensor([0.7000]), enemy health [2.0, 9.0], model health [8, 8.0]
Iteration 444 ended with reward tensor([0.2000]), enemy health [2.0, 7.0], model health [2.0, 8.0]
Iteration 445 ended with reward tensor([-0.5000]), enemy health [2.0, 7.0], model health [0, 8.0]
Iteration 446 ended with reward tensor([1.]), enemy health [0.0, 7.0], model health [0, 8.0]
Iteration 447 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [0, 8.0]
Iteration 448 ended with reward tensor([-0.5000]), enemy health [0.0, 7.0], model health [0.0, 8.0]
Iteration 449 ended with reward tensor([0.7000]), enemy health [0.0, 5.0], model health [0.0, 8.0]
Iteration 450 ended with reward tensor([0.7000]), enemy health [0.0, 4.0], model health [0.0, 8.0]
Iteration 451 ended with reward tensor([-0.5000]), enemy health [0.0, 4.0], model health [0.0, 8.0]
Iteration 452 ended with reward tensor([-0.5000]), enemy health [0.0, 4.0], model health [0.0, 8.0]
Iteration 453 ended with reward tensor([-0.5000]), enemy health [0.0, 4.0], model health [0.0, 5.0]
Iteration 454 ended with reward tensor([0.7000]), enemy health [0.0, 2.0], model health [0.0, 3.0]
Iteration 455 ended with reward tensor([2.]), enemy health [0.0, 0.0], model health [0.0, 2.0]
model won!
Iteration 456 ended with reward tensor([0.5000]), enemy health [8, 9], model health [5.0, 9]
Iteration 457 ended with reward tensor([0.9000]), enemy health [8, 9.0], model health [2.0, 9.0]
Iteration 458 ended with reward tensor([0.7000]), enemy health [8, 9.0], model health [1.0, 9.0]
Iteration 459 ended with reward tensor([-0.5000]), enemy health [8, 9.0], model health [1.0, 9.0]
Iteration 460 ended with reward tensor([-0.5000]), enemy health [8, 9.0], model health [0.0, 9.0]
Iteration 461 ended with reward tensor([-0.5000]), enemy health [8, 9.0], model health [0.0, 9.0]
Iteration 462 ended with reward tensor([-0.5000]), enemy health [8, 9.0], model health [0.0, 9.0]
Iteration 463 ended with reward tensor([-0.5000]), enemy health [8, 9.0], model health [0.0, 9.0]
